study_accession,reads_accession,fastq_1,fastq_2,library_layout,library_strategy,platform
PRJEB51728,ERR10900789,s3://era-public/fastq/ERR109/089/ERR10900789/ERR10900789_1.fastq.gz,s3://era-public/fastq/ERR109/089/ERR10900789/ERR10900789_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900791,s3://era-public/fastq/ERR109/091/ERR10900791/ERR10900791_1.fastq.gz,s3://era-public/fastq/ERR109/091/ERR10900791/ERR10900791_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900792,s3://era-public/fastq/ERR109/092/ERR10900792/ERR10900792_1.fastq.gz,s3://era-public/fastq/ERR109/092/ERR10900792/ERR10900792_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900793,s3://era-public/fastq/ERR109/093/ERR10900793/ERR10900793_1.fastq.gz,s3://era-public/fastq/ERR109/093/ERR10900793/ERR10900793_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900795,s3://era-public/fastq/ERR109/095/ERR10900795/ERR10900795_1.fastq.gz,s3://era-public/fastq/ERR109/095/ERR10900795/ERR10900795_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900797,s3://era-public/fastq/ERR109/097/ERR10900797/ERR10900797_1.fastq.gz,s3://era-public/fastq/ERR109/097/ERR10900797/ERR10900797_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900798,s3://era-public/fastq/ERR109/098/ERR10900798/ERR10900798_1.fastq.gz,s3://era-public/fastq/ERR109/098/ERR10900798/ERR10900798_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900802,s3://era-public/fastq/ERR109/002/ERR10900802/ERR10900802_1.fastq.gz,s3://era-public/fastq/ERR109/002/ERR10900802/ERR10900802_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900803,s3://era-public/fastq/ERR109/003/ERR10900803/ERR10900803_1.fastq.gz,s3://era-public/fastq/ERR109/003/ERR10900803/ERR10900803_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900804,s3://era-public/fastq/ERR109/004/ERR10900804/ERR10900804_1.fastq.gz,s3://era-public/fastq/ERR109/004/ERR10900804/ERR10900804_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900805,s3://era-public/fastq/ERR109/005/ERR10900805/ERR10900805_1.fastq.gz,s3://era-public/fastq/ERR109/005/ERR10900805/ERR10900805_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900808,s3://era-public/fastq/ERR109/008/ERR10900808/ERR10900808_1.fastq.gz,s3://era-public/fastq/ERR109/008/ERR10900808/ERR10900808_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900818,s3://era-public/fastq/ERR109/018/ERR10900818/ERR10900818_1.fastq.gz,s3://era-public/fastq/ERR109/018/ERR10900818/ERR10900818_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900822,s3://era-public/fastq/ERR109/022/ERR10900822/ERR10900822_1.fastq.gz,s3://era-public/fastq/ERR109/022/ERR10900822/ERR10900822_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900823,s3://era-public/fastq/ERR109/023/ERR10900823/ERR10900823_1.fastq.gz,s3://era-public/fastq/ERR109/023/ERR10900823/ERR10900823_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900824,s3://era-public/fastq/ERR109/024/ERR10900824/ERR10900824_1.fastq.gz,s3://era-public/fastq/ERR109/024/ERR10900824/ERR10900824_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900827,s3://era-public/fastq/ERR109/027/ERR10900827/ERR10900827_1.fastq.gz,s3://era-public/fastq/ERR109/027/ERR10900827/ERR10900827_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900831,s3://era-public/fastq/ERR109/031/ERR10900831/ERR10900831_1.fastq.gz,s3://era-public/fastq/ERR109/031/ERR10900831/ERR10900831_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900841,s3://era-public/fastq/ERR109/041/ERR10900841/ERR10900841_1.fastq.gz,s3://era-public/fastq/ERR109/041/ERR10900841/ERR10900841_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900849,s3://era-public/fastq/ERR109/049/ERR10900849/ERR10900849_1.fastq.gz,s3://era-public/fastq/ERR109/049/ERR10900849/ERR10900849_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900852,s3://era-public/fastq/ERR109/052/ERR10900852/ERR10900852_1.fastq.gz,s3://era-public/fastq/ERR109/052/ERR10900852/ERR10900852_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10900855,s3://era-public/fastq/ERR109/055/ERR10900855/ERR10900855_1.fastq.gz,s3://era-public/fastq/ERR109/055/ERR10900855/ERR10900855_2.fastq.gz,paired,wgs,illumina
