study_accession,reads_accession,fastq_1,fastq_2,library_layout,library_strategy,platform
PRJEB51728,ERR10901206,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/006/ERR10901206/ERR10901206_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/006/ERR10901206/ERR10901206_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901210,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/010/ERR10901210/ERR10901210_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/010/ERR10901210/ERR10901210_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901213,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/013/ERR10901213/ERR10901213_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/013/ERR10901213/ERR10901213_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901225,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/025/ERR10901225/ERR10901225_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/025/ERR10901225/ERR10901225_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901227,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/027/ERR10901227/ERR10901227_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/027/ERR10901227/ERR10901227_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901228,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/028/ERR10901228/ERR10901228_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/028/ERR10901228/ERR10901228_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901234,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/034/ERR10901234/ERR10901234_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/034/ERR10901234/ERR10901234_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901239,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/039/ERR10901239/ERR10901239_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/039/ERR10901239/ERR10901239_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901243,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/043/ERR10901243/ERR10901243_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/043/ERR10901243/ERR10901243_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901245,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/045/ERR10901245/ERR10901245_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/045/ERR10901245/ERR10901245_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901250,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/050/ERR10901250/ERR10901250_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/050/ERR10901250/ERR10901250_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901252,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/052/ERR10901252/ERR10901252_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/052/ERR10901252/ERR10901252_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901254,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/054/ERR10901254/ERR10901254_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/054/ERR10901254/ERR10901254_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901256,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/056/ERR10901256/ERR10901256_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/056/ERR10901256/ERR10901256_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901258,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/058/ERR10901258/ERR10901258_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/058/ERR10901258/ERR10901258_2.fastq.gz,paired,wgs,illumina
PRJEB51728,ERR10901259,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/059/ERR10901259/ERR10901259_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/059/ERR10901259/ERR10901259_2.fastq.gz,paired,wgs,illumina
