sample,accession,fastq_1,fastq_2
ERR10896710,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/010/ERR10896710/ERR10896710_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/010/ERR10896710/ERR10896710_2.fastq.gz
ERR10896720,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/020/ERR10896720/ERR10896720_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/020/ERR10896720/ERR10896720_2.fastq.gz
ERR10896726,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/026/ERR10896726/ERR10896726_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/026/ERR10896726/ERR10896726_2.fastq.gz
ERR10896728,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/028/ERR10896728/ERR10896728_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/028/ERR10896728/ERR10896728_2.fastq.gz
ERR10896740,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/040/ERR10896740/ERR10896740_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/040/ERR10896740/ERR10896740_2.fastq.gz
ERR10896754,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/054/ERR10896754/ERR10896754_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/054/ERR10896754/ERR10896754_2.fastq.gz
ERR10896792,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/092/ERR10896792/ERR10896792_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/092/ERR10896792/ERR10896792_2.fastq.gz
ERR10896832,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/032/ERR10896832/ERR10896832_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/032/ERR10896832/ERR10896832_2.fastq.gz
ERR10896836,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/036/ERR10896836/ERR10896836_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/036/ERR10896836/ERR10896836_2.fastq.gz
ERR10896844,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/044/ERR10896844/ERR10896844_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/044/ERR10896844/ERR10896844_2.fastq.gz
ERR10896859,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/059/ERR10896859/ERR10896859_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/059/ERR10896859/ERR10896859_2.fastq.gz
ERR10896926,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/026/ERR10896926/ERR10896926_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/026/ERR10896926/ERR10896926_2.fastq.gz
ERR10896940,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/040/ERR10896940/ERR10896940_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/040/ERR10896940/ERR10896940_2.fastq.gz
ERR10896962,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/062/ERR10896962/ERR10896962_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/062/ERR10896962/ERR10896962_2.fastq.gz
ERR10896980,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/080/ERR10896980/ERR10896980_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/080/ERR10896980/ERR10896980_2.fastq.gz
ERR10897380,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/080/ERR10897380/ERR10897380_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/080/ERR10897380/ERR10897380_2.fastq.gz
ERR10897385,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/085/ERR10897385/ERR10897385_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/085/ERR10897385/ERR10897385_2.fastq.gz
ERR10897473,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/073/ERR10897473/ERR10897473_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/073/ERR10897473/ERR10897473_2.fastq.gz
ERR10897502,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/002/ERR10897502/ERR10897502_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/002/ERR10897502/ERR10897502_2.fastq.gz
ERR10897561,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/061/ERR10897561/ERR10897561_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/061/ERR10897561/ERR10897561_2.fastq.gz
ERR10900555,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/055/ERR10900555/ERR10900555_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/055/ERR10900555/ERR10900555_2.fastq.gz
ERR10900556,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/056/ERR10900556/ERR10900556_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/056/ERR10900556/ERR10900556_2.fastq.gz
ERR10900559,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/059/ERR10900559/ERR10900559_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/059/ERR10900559/ERR10900559_2.fastq.gz
ERR10900563,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/063/ERR10900563/ERR10900563_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/063/ERR10900563/ERR10900563_2.fastq.gz
ERR10900569,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/069/ERR10900569/ERR10900569_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/069/ERR10900569/ERR10900569_2.fastq.gz
ERR10900570,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/070/ERR10900570/ERR10900570_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/070/ERR10900570/ERR10900570_2.fastq.gz
ERR10900571,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/071/ERR10900571/ERR10900571_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/071/ERR10900571/ERR10900571_2.fastq.gz
ERR10900574,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/074/ERR10900574/ERR10900574_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/074/ERR10900574/ERR10900574_2.fastq.gz
ERR10900575,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/075/ERR10900575/ERR10900575_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/075/ERR10900575/ERR10900575_2.fastq.gz
ERR10900576,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/076/ERR10900576/ERR10900576_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/076/ERR10900576/ERR10900576_2.fastq.gz
ERR10900577,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/077/ERR10900577/ERR10900577_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/077/ERR10900577/ERR10900577_2.fastq.gz
ERR10900578,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/078/ERR10900578/ERR10900578_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/078/ERR10900578/ERR10900578_2.fastq.gz
ERR10900581,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/081/ERR10900581/ERR10900581_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/081/ERR10900581/ERR10900581_2.fastq.gz
ERR10900584,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/084/ERR10900584/ERR10900584_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/084/ERR10900584/ERR10900584_2.fastq.gz
ERR10900586,PRJEB51728,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/086/ERR10900586/ERR10900586_1.fastq.gz,ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR109/086/ERR10900586/ERR10900586_2.fastq.gz
